iid	lat	long	time	sex	analyis_label	label	source	udg	data_type	location	country	coverage	n_snps
I0111	51.45	11.54	3881	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	Mixed:half+plus	1240K.capture	Rothenschirmbach	Germany	0.731	558181
I1276	42.33333333	-3.5	3950	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.104	117488
I0797	51.28305556	11.65	5500	M	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Karsdorf	Germany	0.087	95833
I0108	51.45	11.54	3953	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	Mixed:half+plus	1240K.capture	Rothenschirmbach	Germany	1.197	764099
I1500	47.167	20.833	6164	M	Europe_EN	ALPC_Hungary_MN	MathiesonNature2015	half	1240K.capture	Kompolt-Kigyoser	Hungary	4.246	854790
I1280	42.33333333	-3.5	3950	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.22	208463
I1539	51.42	11.68	3967	F	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.132	143190
I1532	51.42	11.68	2500	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.566	475207
I0113	51.79	11.14	3773	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	Mixed:half+plus	1240K.capture	Quedlinburg XII	Germany	0.777	609165
I1505	47.88	21.192	6153	F	Europe_EN	Hungary_Neolithic	MathiesonNature2015	half	1240K.capture	Polgar Ferenci hat	Hungary	3.494	797508
I1538	51.42	11.68	2050	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.126	137950
I1540	51.42	11.68	2050	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.298	291946
I1314	42.33333333	-3.5	3950	M	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.268	224117
I1542	51.42	11.68	2050	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.068	78085
I1508	47.318741	21.527443	6726	F	Europe_EN	Koros_Hungary_EN	MathiesonNature2015	half	1240K.capture	Berettyóújfalu-Morotva-Liget	Hungary	0.914	585392
I1271	42.33333333	-3.5	3950	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.241	239592
I1504	47.82	19.95	2769	M	Europe_LNBA	Late_Bronze_Age	MathiesonNature2015	half	1240K.capture	Ludas-Varju-Dulo	Hungary	1.332	704178
I0405	41.2522	-2.32622	3900	M	Europe_MNChL	Iberia_MN	MathiesonNature2015	plus	1240K.capture	La Mina	Spain	0.377	327044
I1534	51.42	11.68	2500	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.158	167366
I1550	51.89	11.04	5500	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	0.745	514954
I1300	42.33333333	-3.5	3950	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	2.792	807280
I0060	51.45	11.54	3822	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	plus	1240K.capture	Rothenschirmbach	Germany	0.105	118605
I1496	47.167	19.833	6135	M	Europe_EN	LBK_Hungary_MN	MathiesonNature2015	half	1240K.capture	Apc-Berekalya I	Hungary	5.246	835911
I1272	42.33333333	-3.5	4080	F	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.977	599689
I0407	41.2522	-2.32622	3900	F	Europe_MNChL	Iberia_MN	MathiesonNature2015	plus	1240K.capture	La Mina	Spain	1.363	567058
I1502	47.167	20.833	3686	F	Europe_LNBA	Hungary_Mako_EBA	MathiesonNature2015	half	1240K.capture	Kompolt-Kigyoser	Hungary	4.682	824420
I1544	51.42	11.68	2500	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.104	117069
I0100	51.89	11.04	6080	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	6.727	1002375
I1495	47.167	19.833	5598	M	Europe_EN	Hungary_MN	MathiesonNature2015	half	1240K.capture	Apc-Berekalya I	Hungary	4.853	854267
I0659	51.89	11.04	6130	M	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	0.703	582038
I1507	47.93	21.2	6835	M	WHG	Koros_Hungary_EN_HG	MathiesonNature2015	half	1240K.capture	Tiszaszolos-Domahaza	Hungary	5.103	824434
I0025	48.78	9.18	5500	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Viesenhaeuser Hof, Stuttgart-Muehlhausen	Germany	2.655	866455
I0026	48.78	9.18	5500	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Viesenhaeuser Hof, Stuttgart-Muehlhausen	Germany	3.625	926521
I0022	48.78	9.18	5500	F	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Viesenhaeuser Hof, Stuttgart-Muehlhausen	Germany	0.441	379736
I0560	51.79	11.14	4745	F	Europe_MNChL	Baalberge_MN	MathiesonNature2015	half	1240K.capture	Quedlinburg IX	Germany	0.407	389067
I0012	58.535	15.046	6734	M	SHG	Motala_HG	MathiesonNature2015	plus	1240K.capture	Motala, Kanaljorden	Sweden	1.756	805855
I0017	58.535	15.046	6773	M	SHG	Motala_HG	MathiesonNature2015	plus	1240K.capture	Motala, Kanaljorden	Sweden	4.391	944923
I1303	42.33333333	-3.5	3950	M	Europe_MNChL	Iberia_Chalcolithic	MathiesonNature2015	half	1240K.capture	El Mirador Cave, Atapuerca, Burgos	Spain	0.733	468021
I0551	51.520005	11.852407	3400	M	Europe_MNChL	Salzmuende_MN	MathiesonNature2015	half	1240K.capture	Salzmuende-Schiebzig	Germany	0.091	104265
I0011	58.535	15.046	6701	F	SHG	Motala_HG	MathiesonNature2015	plus	1240K.capture	Motala, Kanaljorden	Sweden	1.03	643050
I0013	58.535	15.046	6877	M	SHG	Motala_HG	MathiesonNature2015	plus	1240K.capture	Motala, Kanaljorden	Sweden	0.657	320332
I0171	51.82	10.91	3758	F	Europe_LNBA	BenzigerodeHeimburg_LN	MathiesonNature2015	plus	1240K.capture	Benzingerode-Heimburg	Germany	0.143	144777
I1546	51.82	10.91	2500	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	half	1240K.capture	Benzingerode-Heimburg	Germany	0.143	155325
I1536	51.42	11.68	2500	M	Europe_LNBA	Corded_Ware_Germany	MathiesonNature2015	half	1240K.capture	Esperstedt	Germany	0.105	116878
I0014	58.535	15.046	6842	F	SHG	Motala_HG	MathiesonNature2015	plus	1240K.capture	Motala, Kanaljorden	Sweden	2.709	763001
I0015	58.535	15.046	6863	M	SHG	Motala_HG	MathiesonNature2015	plus	1240K.capture	Motala, Kanaljorden	Sweden	1.562	611053
I0408	41.2522	-2.32622	3900	F	Europe_MNChL	Iberia_MN	MathiesonNature2015	Mixed:half+plus	1240K.capture	La Mina	Spain	13.608	958102
I0585	42.911	-5.3778	6980	M	WHG	Iberia_HG	MathiesonNature2015	half	1240K.capture	La Brana-Arintero, Leon	Spain	19.536	1057168
I1506	47.88	21.192	6237	F	Europe_EN	LBK_Hungary_EN	MathiesonNature2015	half	1240K.capture	Polgar Ferenci hat	Hungary	1.517	729538
I1549	51.82	10.91	2500	F	Europe_LNBA	Bell_Beaker_Germany	MathiesonNature2015	half	1240K.capture	Benzingerode-Heimburg	Germany	2.357	809566
I1499	48.52	21.168	6185	F	Europe_EN	Bu_kk_Culture_Hungary_MN	MathiesonNature2015	half	1240K.capture	Garadna	Hungary	3.319	847840
I0821	51.89583333	11.04666667	6076	M	Europe_EN	LBK_EN	MathiesonNature2015	half	1240K.capture	Halberstadt-Sonntagsfeld	Germany	0.116	128759
CB13	41.37	1.89	6410	F	Europe_EN	Iberia_EN	OlaldeMBE2015	minus	Shotgun	Cova Bonica, Vallirana, Barcelona	Spain	0.979	746511
HGDP00511	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00512	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00513	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00514	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00515	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00516	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00517	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00518	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00519	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00522	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00523	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00524	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00525	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00526	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00527	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00528	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00529	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00531	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00533	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00534	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00535	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00536	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00537	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00538	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP00539	46	2	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01147	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01151	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01152	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
